T-R Separation Distance (m),Received Power (dBm),Path Loss (dB),RMS Delay Spread (ns),K-Factor (dB)
8332.5,-95.9,125.9,17.9,-5.6
3084.3,-79.7,109.7,21.9,-4.4
2909.5,-76.6,106.6,15.8,-2.1
2743.9,-77.9,107.9,20.4,-3.4
2129.0,-70.0,100.0,21.4,-0.0
6422.8,-89.5,119.5,20.2,-4.8
8941.6,-86.3,116.3,16.8,-5.2
8853.2,-98.5,128.5,12.3,-2.8
9327.1,-87.3,117.3, 0.0, Inf
5701.2,-85.1,115.1,13.2,-2.6
4118.2,-82.8,112.8,21.2,-5.3
5590.7,-83.1,113.1,24.0, 4.0
8242.7,-73.5,103.5,13.8,-2.7
6262.6,-83.1,113.1,18.7,-2.2
5600.0,-86.9,116.9,19.2, 0.8
2721.5,-78.9,108.9,23.5, 6.6
3359.5,-84.7,114.7,19.8,-4.2
1200.5,-72.9,102.9,17.8,-0.7
8909.2,-90.5,120.5,19.5,-4.5
6336.3,-88.9,118.9,15.0, 0.2
6895.9,-86.3,116.3, 9.5,-4.3
3380.8,-87.8,117.8,17.0,-5.7
9967.8,-98.2,128.2, 8.5,-0.6
8800.5,-89.0,119.0,18.4,-3.0
9440.4,-89.4,119.4,18.7,10.5
8256.1,-90.9,120.9,21.5,-1.6
8660.5,-91.8,121.8, 7.9, 0.8
9438.9,-97.5,127.5,12.5, 3.5
3832.8,-81.7,111.7,13.7,-2.4
8699.5,-88.8,118.8,12.5,-2.3
7198.6,-83.6,113.6,21.1, 1.3
7155.7,-85.6,115.6,20.3,-3.4
5919.9,-81.3,111.3, 6.3,-1.8
4260.3,-82.1,112.1,13.8,-0.1
1484.3,-80.5,110.5,17.5, 7.7
7878.1,-85.4,115.4, 6.3, 3.4
8369.5,-86.5,116.5,16.5, 4.3
9916.9,-89.3,119.3,19.4,-2.8
5469.7,-80.9,110.9,14.2,-3.8
9506.1,-89.6,119.6,15.1, 1.9
5777.8,-85.6,115.6,15.3, 0.3
5762.9,-85.0,115.0,23.4,-1.8
1319.3,-77.9,107.9,19.2,-6.2
7731.8,-79.8,109.8,11.3, 3.6
2403.4,-75.8,105.8,18.3,-1.7
3440.7,-81.8,111.8,15.2,-4.1
6105.1,-85.3,115.3,22.8, 1.9
3057.8,-75.1,105.1,11.5,-3.3
9117.2,-91.2,121.2,18.6, 0.8
4335.3,-77.2,107.2,16.8,-3.5
8661.7,-88.3,118.3,17.5, 0.2
1458.7,-71.4,101.4, 2.4, 1.8
4475.0,-77.5,107.5,15.8,-4.2
1937.3,-73.3,103.3,16.1, 0.4
3334.1,-80.7,110.7,14.1,-1.5
8355.0,-85.5,115.5,25.3, 1.5
5646.2,-86.3,116.3,18.6,-2.5
6526.2,-83.6,113.6,14.0,-3.5
5808.9,-88.9,118.9,19.5, 0.7
1389.3,-66.5,96.5,20.0,-1.8
8335.8,-85.9,115.9,23.8,-0.3
4721.2,-88.0,118.0, 9.1, 3.8
8993.6,-90.7,120.7,14.9,-3.1
8060.9,-89.5,119.5,21.3, 0.4
8009.4,-93.1,123.1,20.6,-1.8
3829.8,-82.3,112.3, 8.3, 3.4
4961.3,-81.6,111.6, 8.0,-3.7
1801.6,-71.3,101.3,17.7,-3.0
6142.5,-78.0,108.0,22.4, 2.3
6637.4,-83.0,113.0,13.6,-1.1
3600.6,-78.5,108.5,19.3,-3.1
5238.1,-80.1,110.1,16.2,-2.1
8411.0,-88.7,118.7,14.3, 1.4
2735.2,-75.0,105.0,18.9,-0.4
3107.2,-78.3,108.3,18.9,-4.9
2057.6,-79.1,109.1,19.3,-4.5
9386.8,-83.5,113.5,21.4,-1.8
1315.3,-71.2,101.2,12.6,-2.4
1866.4,-73.7,103.7,21.2, 1.9
2937.7,-77.4,107.4,20.4,-3.9
2596.2,-77.7,107.7,11.9,-3.2
8801.5,-89.1,119.1,21.3,-4.1
3401.5,-81.6,111.6, 9.3, 3.1
7571.9,-90.6,120.6,18.1,-1.7
6045.0,-87.6,117.6,18.4, 0.5
4133.6,-81.8,111.8,22.7,-3.8
7690.0,-85.6,115.6,15.3, 0.6
5887.8,-84.5,114.5,16.2, 4.2
3221.3,-83.0,113.0,21.3, 4.0
9790.3,-87.7,117.7,18.9,-3.8
5013.3,-85.3,115.3,15.3,-2.5
3502.0,-81.6,111.6, 5.3, 7.7
1152.0,-72.4,102.4, 7.4,-2.4
5461.4,-88.0,118.0,15.9,-3.5
8113.3,-90.4,120.4,14.2,-2.3
6177.0,-86.8,116.8,17.2,-4.5
1611.2,-78.1,108.1,19.9,-2.1
9418.6,-90.7,120.7,17.6,-2.3
7558.9,-91.4,121.4,14.5,-2.3
9005.4,-89.4,119.4, 1.2,11.7